,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,tasiilaq,100,GL,1562201919,75,65.61,-37.64,44.6,10.29
1,jamestown,0,AU,1562201919,73,-33.21,138.6,49.58,9.86
2,bethel,90,US,1562201920,93,60.79,-161.76,57.2,18.34
3,saldanha,78,PT,1562201920,57,41.42,-6.55,70.1,7.54
4,port moresby,75,PG,1562201920,78,-9.47,147.16,78.8,17.22
5,hobart,20,AU,1562201920,81,-42.88,147.33,44.6,6.93
6,grand gaube,20,MU,1562201920,86,-20.01,57.66,70.0,9.84
7,trairi,22,BR,1562201683,96,-3.28,-39.27,71.54,4.27
8,rikitea,100,PF,1562201921,81,-23.12,-134.97,65.24,23.98
9,abyek,0,IR,1562201921,29,36.04,50.53,76.4,7.61
10,merauke,68,ID,1562201921,80,-8.49,140.4,76.22,16.51
11,hammerfest,90,NO,1562201921,100,70.66,23.68,44.6,11.41
12,kapaa,1,US,1562201921,66,22.08,-159.32,84.2,9.17
13,punta arenas,75,CL,1562201922,92,-53.16,-70.91,30.2,6.93
14,pascagoula,1,US,1562201646,74,30.37,-88.56,89.6,3.36
15,belaya gora,99,RU,1562201922,54,68.54,146.19,53.18,6.6
16,cochrane,88,CL,1562201922,94,-47.25,-72.57,18.44,2.57
17,kavaratti,100,IN,1562201922,82,10.57,72.64,82.16,17.22
18,yellowknife,90,CA,1562201923,71,62.45,-114.38,57.2,13.87
19,butaritari,8,KI,1562201923,67,3.07,172.79,83.96,2.82
20,puerto ayora,40,EC,1562201923,73,-0.74,-90.35,73.4,16.11
21,kozhva,6,RU,1562201923,79,65.11,57.05,63.98,3.87
22,tuktoyaktuk,75,CA,1562201923,46,69.44,-133.03,69.8,14.99
23,constitucion,90,MX,1562201924,35,23.99,-104.67,71.6,17.22
24,casper,1,US,1562201840,53,42.87,-106.31,78.01,13.87
25,ushuaia,0,AR,1562201911,92,-54.81,-68.31,24.8,12.75
26,bambous virieux,1,MU,1562201891,86,-20.34,57.76,70.0,6.69
27,jiangyou,100,CN,1562201924,89,31.78,104.73,62.18,1.52
28,quilmana,19,PE,1562201924,87,-12.95,-76.38,59.66,10.87
29,kruisfontein,0,ZA,1562201924,83,-34.0,24.73,49.94,2.37
30,bredasdorp,0,ZA,1562201925,93,-34.53,20.04,55.0,4.7
31,lorengau,3,PG,1562201925,76,-2.02,147.27,82.16,5.5
32,meulaboh,100,ID,1562201925,79,4.14,96.13,81.26,7.54
33,marawi,34,PH,1562201925,79,8.0,124.29,81.0,1.99
34,lompoc,1,US,1562201926,52,34.64,-120.46,77.0,13.87
35,hilo,90,US,1562201926,65,19.71,-155.08,82.4,13.87
36,pampierstad,0,ZA,1562201926,36,-27.78,24.69,44.36,8.16
37,cape town,20,ZA,1562201926,93,-33.93,18.42,55.99,8.05
38,tiksi,100,RU,1562201926,94,71.64,128.87,37.7,4.61
39,airai,5,TL,1562201927,55,-8.93,125.41,74.42,2.73
40,khatanga,92,RU,1562201927,85,71.98,102.47,56.24,8.55
41,busselton,100,AU,1562201735,44,-33.64,115.35,62.01,27.18
42,iquitos,0,PE,1562201898,83,-3.75,-73.25,80.6,2.17
43,fairbanks,75,US,1562201920,44,64.84,-147.72,78.01,10.29
44,qaqortoq,0,GL,1562201927,50,60.72,-46.03,53.6,5.82
45,norman wells,75,CA,1562201927,49,65.28,-126.83,68.0,5.82
46,chuy,20,UY,1562201928,72,-33.69,-53.46,44.54,17.4
47,mayo,90,CA,1562201928,26,63.59,-135.9,78.8,11.41
48,morsbach,0,DE,1562201928,76,50.86,7.73,55.99,1.12
49,arraial do cabo,0,BR,1562201928,88,-22.97,-42.02,66.2,2.24
50,cockburn town,0,TC,1562201928,78,21.46,-71.14,82.52,15.05
51,vaini,75,IN,1562201733,100,15.34,74.49,71.6,5.82
52,georgetown,40,GY,1562201929,83,6.8,-58.16,82.4,9.17
53,kieta,57,PG,1562201929,68,-6.22,155.63,83.42,4.0
54,grindavik,90,IS,1562201929,93,63.84,-22.43,51.01,9.17
55,lavrentiya,0,RU,1562201929,50,65.58,-170.99,63.98,15.41
56,guerrero negro,0,MX,1562201929,83,27.97,-114.04,66.14,17.45
57,punta de bombon,99,PE,1562201929,92,-17.17,-71.79,55.52,5.88
58,albany,1,US,1562201930,57,42.65,-73.75,81.0,3.36
59,saint-augustin,20,CA,1562201930,54,45.63,-73.98,82.99,3.36
60,calama,0,CL,1562201930,24,-22.46,-68.93,55.4,8.05
61,mataura,71,NZ,1562201930,88,-46.19,168.86,45.0,1.99
62,clyde river,90,CA,1562201930,73,70.47,-68.59,32.0,6.93
63,souillac,0,FR,1562201931,53,45.6,-0.6,73.99,9.17
64,otane,100,NZ,1562201931,94,-39.89,176.62,52.0,8.88
65,honiara,20,SB,1562201660,59,-9.43,159.96,89.6,11.41
66,diffa,93,NE,1562201931,41,13.32,12.61,90.62,6.02
67,san borja,94,BO,1562201931,95,-14.86,-66.75,72.98,2.15
68,klaksvik,100,FO,1562201931,100,62.23,-6.59,50.0,8.05
69,la orilla,48,MX,1562201932,58,18.0,-102.23,88.1,6.8
70,kindu,48,CD,1562201932,70,-2.95,25.92,73.16,2.06
71,shelburne,1,CA,1562201932,39,44.08,-80.2,81.0,4.7
72,araouane,2,ML,1562201748,10,18.9,-3.53,100.34,9.66
73,portland,1,US,1562201932,50,43.66,-70.25,78.8,5.82
74,qaanaaq,74,GL,1562201743,44,77.48,-69.36,47.24,2.57
75,avarua,18,CK,1562201933,69,-21.21,-159.78,73.4,14.99
76,itarema,1,BR,1562201933,93,-2.92,-39.92,74.06,5.06
77,hermanus,0,ZA,1562201933,86,-34.42,19.24,55.99,18.9
78,monrovia,75,LR,1562201933,94,6.33,-10.8,77.0,3.36
79,sao filipe,78,CV,1562201933,88,14.9,-24.5,73.52,13.71
80,provideniya,20,RU,1562201933,87,64.42,-173.23,48.2,11.18
81,saskylakh,86,RU,1562201934,64,71.97,114.09,54.44,6.51
82,assiniboia,81,CA,1562201934,55,49.63,-105.99,66.86,9.57
83,sattenapalle,97,IN,1562201934,67,16.39,80.15,82.52,6.91
84,vila franca do campo,40,PT,1562201934,77,37.72,-25.43,68.0,6.93
85,port alfred,0,ZA,1562201645,88,-33.59,26.89,57.99,4.0
86,ponta do sol,53,BR,1562201935,61,-20.63,-46.0,64.34,5.48
87,alindao,100,CF,1562201935,97,5.04,21.21,70.28,3.67
88,zalantun,69,CN,1562201935,64,48.0,122.72,71.54,2.62
89,pevek,100,RU,1562201935,98,69.7,170.27,32.3,3.22
90,san jeronimo,0,PE,1562201935,87,-13.65,-73.37,47.06,4.0
91,campo verde,20,PE,1562201936,74,-8.47,-74.81,82.4,2.24
92,taoudenni,0,ML,1562201936,14,22.68,-3.98,99.8,9.24
93,bathsheba,40,BB,1562201936,78,13.22,-59.52,82.4,19.46
94,ribeira grande,0,PT,1562201936,88,38.52,-28.7,68.48,7.16
95,daru,97,PG,1562201936,74,-9.07,143.21,77.84,9.53
96,tautira,40,PF,1562201936,54,-17.73,-149.15,80.6,4.7
97,lakes entrance,0,AU,1562201937,87,-37.88,147.99,48.99,1.99
98,egvekinot,21,RU,1562201937,46,66.32,-179.17,65.06,16.06
99,rio cuarto,0,AR,1562201937,42,-33.13,-64.35,46.4,5.82
100,dunedin,63,NZ,1562201710,60,-45.87,170.5,52.0,14.0
101,port elizabeth,1,US,1562201692,74,39.31,-74.98,84.2,6.93
102,namatanai,71,PG,1562201937,82,-3.66,152.44,79.64,14.47
103,portobelo,40,PA,1562201938,94,9.55,-79.65,82.4,2.24
104,lasa,0,CY,1562201938,83,34.92,32.53,77.0,6.93
105,surt,0,LY,1562201938,72,31.21,16.59,77.66,11.01
106,sandy bay,20,AU,1562201938,81,-42.9,147.33,44.6,6.93
107,barrow,79,AR,1562201938,73,-38.31,-60.23,39.32,10.6
108,saint-philippe,1,CA,1562201939,51,45.36,-73.48,82.99,6.93
109,ilulissat,0,GL,1562201939,73,69.22,-51.1,48.2,4.7
110,asino,36,RU,1562201939,91,57.0,86.14,63.8,8.84
111,gisborne,96,NZ,1562201939,79,-38.66,178.02,59.0,11.01
112,tadine,29,NC,1562201939,62,-21.55,167.88,72.08,0.92
113,mikhaylovka,47,RU,1562201940,69,52.96,103.29,64.7,9.17
114,ouegoa,72,NC,1562201940,64,-20.34,164.44,72.44,2.82
115,monte carmelo,45,BR,1562201940,55,-18.73,-47.5,66.5,4.68
116,port blair,75,IN,1562201775,89,11.67,92.75,84.2,6.93
117,upernavik,66,GL,1562201940,83,72.79,-56.15,41.12,8.25
118,biak,93,ID,1562201940,93,-0.91,122.88,65.42,3.94
119,victoria,75,BN,1562201895,100,5.28,115.24,78.01,3.36
120,tuatapere,93,NZ,1562201941,88,-46.13,167.69,45.0,1.99
121,aitape,69,PG,1562201941,62,-3.15,142.36,83.6,1.34
122,thompson,75,CA,1562201941,55,55.74,-97.86,60.8,11.41
123,saint-joseph,0,FR,1562201941,83,43.56,6.97,80.6,3.36
124,lebu,75,ET,1562201941,93,8.96,38.73,57.2,4.7
125,severo-kurilsk,100,RU,1562201942,98,50.68,156.12,42.2,10.51
126,san patricio,0,PY,1562201942,71,-26.98,-56.83,44.36,5.41
127,chupa,0,PE,1562201942,12,-15.11,-69.99,48.2,3.36
128,nanortalik,1,GL,1562201942,79,60.14,-45.24,40.94,3.09
129,cravo norte,2,CO,1562201943,89,6.3,-70.2,76.76,4.99
130,hasaki,75,JP,1562201943,94,35.73,140.83,77.0,8.05
131,mahebourg,1,MU,1562201704,86,-20.41,57.7,70.0,6.69
132,abalak,93,NE,1562201943,26,15.46,6.28,95.84,10.29
133,kaseda,75,JP,1562201943,94,31.42,130.32,75.2,1.12
134,huarmey,0,PE,1562201833,86,-10.07,-78.15,62.9,14.29
135,pisco,90,PE,1562201773,82,-13.71,-76.2,62.6,10.29
136,kodiak,1,US,1562201944,25,39.95,-94.76,86.0,10.29
137,angoche,1,MZ,1562201944,91,-16.23,39.91,68.3,4.07
138,cabo san lucas,5,MX,1562201892,54,22.89,-109.91,91.0,11.41
139,new norfolk,20,AU,1562201944,81,-42.78,147.06,44.6,6.93
140,tateyama,75,JP,1562201945,83,36.66,137.31,84.0,2.24
141,zyryanka,100,RU,1562201945,60,65.73,150.89,59.12,13.4
142,bluff,65,AU,1562201945,66,-23.58,149.07,66.14,19.53
143,honningsvag,99,NO,1562201945,97,70.98,25.97,43.64,9.01
144,kaitangata,64,NZ,1562201945,75,-46.28,169.85,45.0,11.01
145,san quintin,100,PH,1562201946,82,17.54,120.52,80.54,2.55
146,anzio,0,IT,1562201946,53,41.45,12.63,77.0,4.7
147,mezen,98,RU,1562201946,97,65.85,44.24,55.34,1.83
148,acapulco,20,MX,1562201882,59,16.86,-99.88,89.6,8.05
149,fortuna,0,ES,1562201946,78,38.18,-1.13,75.2,5.82
150,korgen,27,NO,1562201946,100,66.08,13.83,30.2,3.29
151,simplicio mendes,36,BR,1562201947,44,-7.85,-41.91,81.62,2.91
152,leh,0,IN,1562201947,46,34.16,77.58,34.28,3.04
153,narsaq,0,GL,1562201947,50,60.91,-46.05,53.6,5.82
154,florianopolis,75,BR,1562201771,63,-27.6,-48.55,66.0,5.82
155,reforma,90,MX,1562201947,35,24.02,-104.65,71.6,17.22
156,nurota,0,UZ,1562201948,42,40.56,65.69,62.6,4.7
157,codrington,90,AU,1562201948,88,-28.95,153.24,66.2,8.05
158,yulara,0,AU,1562201948,34,-25.24,130.99,51.8,12.75
159,kem,81,UG,1562201948,93,2.68,33.77,64.7,0.78
160,youghal,0,IE,1562201948,87,51.95,-7.85,55.0,1.12
161,sterling,75,US,1562201947,61,39.0,-77.4,88.0,8.05
162,mehamn,100,NO,1562201949,97,71.03,27.85,42.56,12.8
163,faanui,83,PF,1562201949,75,-16.48,-151.75,76.22,31.61
164,dikson,99,RU,1562201949,82,73.51,80.55,36.62,10.76
165,katsuura,75,JP,1562201949,83,33.93,134.5,78.8,4.7
166,carnarvon,0,ZA,1562201949,33,-30.97,22.13,44.9,6.98
167,mar del plata,12,AR,1562201950,75,-46.43,-67.52,29.6,5.97
168,beringovskiy,0,RU,1562201950,40,63.05,179.32,68.48,9.66
169,namibe,26,AO,1562201950,82,-15.19,12.15,69.2,9.78
170,avera,1,US,1562201950,79,33.19,-82.53,91.0,1.68
171,altay,33,CN,1562201950,53,47.83,88.13,60.2,5.5
172,pitimbu,20,BR,1562201951,100,-7.47,-34.81,75.2,1.12
173,melilla,20,EC,1562201951,83,-0.8,-80.23,75.2,9.17
174,atuona,92,PF,1562201780,65,-9.8,-139.03,80.72,5.66
175,yeppoon,75,AU,1562201951,53,-23.13,150.74,73.4,17.22
176,bradford,0,GB,1562201819,81,53.79,-1.75,57.0,6.93
177,te anau,48,NZ,1562201951,87,-45.41,167.72,41.3,4.07
178,kadiri,90,IN,1562201951,71,14.11,78.16,75.32,13.51
179,east london,0,ZA,1562201952,68,-33.02,27.91,51.92,3.09
180,nauta,85,PE,1562201952,92,-4.51,-73.58,74.24,1.52
181,atar,20,MR,1562201952,11,20.52,-13.05,99.26,15.75
182,sechura,5,PE,1562201952,84,-5.56,-80.82,65.06,14.99
183,bhabua,0,IN,1562201952,62,25.04,83.61,85.22,2.21
184,sobolevo,0,RU,1562201953,95,54.43,31.9,45.62,9.51
185,brae,100,GB,1562201953,100,60.4,-1.35,51.8,19.46
186,port hedland,0,AU,1562201953,32,-20.31,118.58,69.8,8.05
187,hami,0,CN,1562201953,9,42.84,93.51,83.42,13.67
188,bokovskaya,10,RU,1562201953,83,49.23,41.83,63.8,4.47
189,cape coast,100,GH,1562201954,91,5.11,-1.24,76.4,10.49
190,panaba,0,MX,1562201954,79,21.28,-88.27,81.8,12.21
191,taber,75,CA,1562201954,30,49.79,-112.14,71.6,4.7
192,ulaanbaatar,20,MN,1562201788,52,47.92,106.92,68.0,4.47
193,mumford,100,GH,1562201954,95,5.26,-0.76,74.24,4.29
194,buchanan,75,LR,1562201954,94,5.88,-10.05,77.0,3.36
195,auki,86,NG,1562201955,70,12.18,6.51,79.64,9.51
196,nome,1,US,1562201955,88,30.04,-94.42,86.0,3.36
197,shimoda,75,JP,1562201955,94,34.7,138.93,75.2,31.09
198,sidney,1,US,1562201823,83,40.28,-84.16,78.01,1.83
199,cuamba,4,MZ,1562201955,81,-14.8,36.54,62.72,10.22
200,smidovich,100,RU,1562201955,89,48.6,133.81,66.32,4.94
201,talavera,0,PE,1562201956,87,-13.65,-73.43,47.06,4.0
202,stupava,0,SK,1562201956,48,48.27,17.03,64.99,4.7
203,cidreira,0,BR,1562201956,59,-30.17,-50.22,49.04,11.43
204,nikolskoye,90,RU,1562201956,87,59.7,30.79,55.0,13.42
205,rio gallegos,0,AR,1562201956,92,-51.62,-69.22,24.8,4.7
206,tocopilla,99,CL,1562201957,81,-22.09,-70.2,57.68,9.84
207,yatou,75,CM,1562201957,94,3.63,9.81,77.0,1.12
208,pangnirtung,99,CA,1562201957,45,66.15,-65.72,50.84,5.64
209,berwick,1,US,1562201957,74,29.69,-91.22,87.01,3.36
210,sitka,0,US,1562201957,52,37.17,-99.65,90.0,15.01
211,touros,75,BR,1562201957,100,-5.2,-35.46,75.2,3.36
212,hofn,100,IS,1562201958,98,64.25,-15.21,40.76,1.88
213,laguna,40,BZ,1562201958,70,16.17,-88.94,84.2,4.7
214,oistins,40,BB,1562201958,78,13.07,-59.53,82.4,19.46
215,jimenez,20,PA,1562201958,88,8.54,-82.37,80.6,5.82
216,hobyo,87,SO,1562201959,70,5.35,48.53,76.76,23.58
217,ornskoldsvik,0,SE,1562201959,70,63.29,18.72,44.6,5.82
218,geraldton,40,CA,1562201959,44,49.72,-86.95,78.8,5.82
219,nenjiang,19,CN,1562201959,74,49.17,125.23,68.12,11.48
220,guane,21,CU,1562201960,75,22.2,-84.09,84.5,14.88
221,half moon bay,75,US,1562201717,82,37.46,-122.43,72.0,9.17
222,foam lake,50,CA,1562201960,62,51.65,-103.53,63.26,9.75
223,nosy varika,9,MG,1562201960,94,-20.58,48.53,63.62,4.83
224,massaguet,0,TD,1562201960,74,12.48,15.44,78.8,9.17
225,rauma,0,FI,1562201960,87,61.13,21.5,42.8,2.24
226,varhaug,90,NO,1562201961,81,58.61,5.65,52.0,6.93
227,castro,20,CL,1562201961,100,-42.48,-73.76,37.4,3.36
228,ancud,20,CL,1562201961,100,-41.87,-73.83,37.4,3.36
229,nampa,1,US,1562201823,23,43.57,-116.56,81.0,11.41
230,entre rios,2,BR,1562201961,98,-11.94,-38.08,68.66,4.79
231,bonthe,96,SL,1562201961,90,7.53,-12.5,77.48,6.78
232,kasangulu,56,CD,1562201962,78,-4.59,15.17,73.4,9.17
233,faya,0,SA,1562201962,30,18.39,42.45,69.8,5.39
234,wanxian,100,CN,1562201962,95,30.8,108.39,67.76,4.85
235,beboto,97,TD,1562201962,80,8.27,16.94,75.5,4.34
236,maniitsoq,36,GL,1562201962,72,65.42,-52.9,44.72,3.29
237,nishihara,75,JP,1562201963,88,35.74,139.53,79.0,6.93
238,pomabamba,0,PE,1562201963,62,-8.82,-77.46,42.74,2.93
239,pervoye maya,0,KG,1562201963,95,40.63,73.68,73.99,5.99
240,goderich,74,CA,1562201926,85,43.74,-81.71,69.01,6.71
241,alyangula,28,AU,1562201963,73,-13.85,136.42,75.2,6.93
242,port shepstone,0,ZA,1562201963,61,-30.74,30.45,52.64,6.31
243,slagelse,37,DK,1562201964,76,55.41,11.35,55.0,8.05
244,ati,52,TD,1562201964,46,13.21,18.34,87.74,7.43
245,rawson,46,AR,1562201964,74,-43.3,-65.11,33.02,14.83
246,never,100,RU,1562201964,44,53.98,124.16,57.68,8.81
247,ostrovnoy,100,RU,1562201964,97,68.05,39.51,46.88,6.29
248,isiro,100,CD,1562201965,99,2.77,27.62,67.58,2.64
249,yarmouth,20,CA,1562201965,82,43.84,-66.12,64.99,5.82
250,margate,20,AU,1562201965,81,-43.03,147.26,44.6,6.93
251,north bend,1,US,1562201965,72,43.41,-124.22,66.0,16.11
252,hokitika,0,NZ,1562201966,65,-42.72,170.96,50.66,1.39
253,maniwaki,32,CA,1562201966,65,46.38,-75.98,74.06,0.72
254,paraiso,40,BR,1562201966,94,-0.03,-51.17,82.4,8.05
255,haines junction,100,CA,1562201966,49,60.75,-137.51,64.88,4.59
256,carbondale,1,US,1562201966,78,38.82,-95.69,82.99,4.7
257,kavieng,61,PG,1562201967,71,-2.57,150.8,83.42,7.16
258,yenagoa,100,NG,1562201967,96,4.92,6.26,74.42,4.12
259,ahipara,100,NZ,1562201967,92,-35.17,173.16,57.14,36.86
260,boddam,40,GB,1562201967,71,57.47,-1.78,57.2,11.41
261,puri,68,ID,1562201967,85,-7.54,112.45,74.42,2.15
262,chokurdakh,100,RU,1562201967,75,70.62,147.9,42.02,5.39
263,barcelos,81,BR,1562201968,95,-0.97,-62.93,74.78,2.01
264,tigil,0,RU,1562201968,44,57.8,158.67,64.34,9.08
265,jabinyanah,0,TN,1562201968,64,35.03,10.91,75.2,3.36
266,manyana,75,AU,1562201968,100,-35.26,150.51,62.01,10.29
267,ponta delgada,40,PT,1562201968,77,37.73,-25.67,68.0,6.93
268,aleksandrovskiy zavod,63,RU,1562201969,92,50.92,117.94,57.86,8.86
269,dafeng,56,CN,1562201969,68,33.2,120.46,78.92,5.06
